week,gem_intensiteit
1,11043244.0
2,11491379.0
3,11713771.0
4,11706061.0
5,10877802.0
6,9849251.0
7,11489213.0
8,13309052.0
9,13312264.0
10,13300273.0
11,13644360.0
12,13432554.0
13,13992056.0
14,13194695.0
15,14063881.0
16,14152465.0
17,13711351.0
18,14543494.0
19,14152455.0
20,14949644.0
21,14891483.0
22,15411540.0
23,15232739.0
24,16148116.0
25,15979980.0
26,16372894.0
27,16155272.0
28,15498750.0
29,14674876.0
30,13238505.0
31,13548483.0
32,13748644.0
33,15145728.0
34,16302406.0
35,14847869.0
36,15647164.0
37,16517227.0
38,16410863.0
39,16255861.0
40,16487680.0
41,16429104.0
42,14578852.0
43,14954394.0
44,14788432.0
45,14158511.0
46,13327015.0
47,13453755.0
48,12935443.0
49,13153218.0
50,13230345.0
51,12299653.0
52,7837848.0
53,3301327.0
