dag,tijd,jaar,gem_intensiteit
Friday,00:00,2019,268.01240694789084
Friday,00:00,2020,190.2594249201278
Friday,00:00,2021,177.58490566037736
Friday,00:00,2022,229.71618037135278
Friday,00:00,2023,242.4780673871583
Friday,00:00,2024,268.2359932088285
Friday,00:15,2019,229.2332506203474
Friday,00:15,2020,162.28753993610223
Friday,00:15,2021,161.11503347534997
Friday,00:15,2022,203.22015915119363
Friday,00:15,2023,215.914812460267
Friday,00:15,2024,232.31409168081495
Friday,00:30,2019,194.54466501240694
Friday,00:30,2020,140.0926517571885
Friday,00:30,2021,136.97017650639074
Friday,00:30,2022,169.17506631299736
Friday,00:30,2023,179.3973299427845
Friday,00:30,2024,196.3684210526316
Friday,00:45,2019,172.1091811414392
Friday,00:45,2020,120.8735332464146
Friday,00:45,2021,118.72185027388923
Friday,00:45,2022,146.5583554376658
Friday,00:45,2023,153.32104259376987
Friday,00:45,2024,167.79117147707979
Friday,01:00,2019,151.25062034739454
Friday,01:00,2020,107.1890482398957
Friday,01:00,2021,103.90383444917833
Friday,01:00,2022,126.49668435013263
Friday,01:00,2023,137.77749523204068
Friday,01:00,2024,146.79966044142614
Friday,01:15,2019,132.62531017369727
Friday,01:15,2020,91.35071707953064
Friday,01:15,2021,90.90687766281192
Friday,01:15,2022,112.05702917771883
Friday,01:15,2023,119.94278448823903
Friday,01:15,2024,131.76655348047538
Friday,01:30,2019,115.89826302729529
Friday,01:30,2020,78.94654498044329
Friday,01:30,2021,80.50578210590383
Friday,01:30,2022,98.5212201591512
Friday,01:30,2023,103.12650985378258
Friday,01:30,2024,111.98387096774194
Friday,01:45,2019,101.27295285359801
Friday,01:45,2020,69.30095846645368
Friday,01:45,2021,71.65611685940353
Friday,01:45,2022,87.51724137931035
Friday,01:45,2023,91.21805467260013
Friday,01:45,2024,96.78947368421052
Friday,02:00,2019,91.04714640198512
Friday,02:00,2020,62.83578274760384
Friday,02:00,2021,64.45039561777237
Friday,02:00,2022,78.42572944297082
Friday,02:00,2023,82.07692307692308
Friday,02:00,2024,88.85653650254669
Friday,02:15,2019,83.17369727047146
Friday,02:15,2020,57.44408945686901
Friday,02:15,2021,60.36457699330493
Friday,02:15,2022,72.55968169761273
Friday,02:15,2023,76.34965034965035
Friday,02:15,2024,83.51612903225806
Friday,02:30,2019,75.09615384615384
Friday,02:30,2020,53.21086261980831
Friday,02:30,2021,56.564820450395615
Friday,02:30,2022,67.88660477453581
Friday,02:30,2023,72.10044500953592
Friday,02:30,2024,78.69609507640068
Friday,02:45,2019,69.88089330024813
Friday,02:45,2020,51.00958466453674
Friday,02:45,2021,54.08642726719415
Friday,02:45,2022,65.42970822281167
Friday,02:45,2023,68.1048951048951
Friday,02:45,2024,74.74872665534805
Friday,03:00,2019,71.05272952853598
Friday,03:00,2020,49.2370607028754
Friday,03:00,2021,52.42544126597687
Friday,03:00,2022,65.18103448275862
Friday,03:00,2023,67.77749523204069
Friday,03:00,2024,71.17317487266554
Friday,03:15,2019,75.3362282878412
Friday,03:15,2020,50.22747603833866
Friday,03:15,2021,55.094339622641506
Friday,03:15,2022,66.62599469496021
Friday,03:15,2023,67.37062937062937
Friday,03:15,2024,72.03225806451613
Friday,03:30,2019,80.0241935483871
Friday,03:30,2020,52.495846645367415
Friday,03:30,2021,57.704199634814366
Friday,03:30,2022,69.55039787798408
Friday,03:30,2023,71.7533375715194
Friday,03:30,2024,75.82852292020374
Friday,03:45,2019,79.32940446650124
Friday,03:45,2020,54.17507987220447
Friday,03:45,2021,59.110772976262936
Friday,03:45,2022,71.37931034482759
Friday,03:45,2023,74.23140495867769
Friday,03:45,2024,78.55857385398981
Friday,04:00,2019,86.3076923076923
Friday,04:00,2020,59.65750798722045
Friday,04:00,2021,61.05051734631771
Friday,04:00,2022,75.30968169761273
Friday,04:00,2023,78.87476160203433
Friday,04:00,2024,85.92699490662139
Friday,04:15,2019,98.62593052109182
Friday,04:15,2020,66.45878594249201
Friday,04:15,2021,68.66707242848447
Friday,04:15,2022,80.35610079575596
Friday,04:15,2023,85.41830896376351
Friday,04:15,2024,94.23938879456706
Friday,04:30,2019,112.95781637717121
Friday,04:30,2020,76.89201277955272
Friday,04:30,2021,80.39926962872794
Friday,04:30,2022,92.72413793103448
Friday,04:30,2023,95.58995549904641
Friday,04:30,2024,107.0
Friday,04:45,2019,133.4863523573201
Friday,04:45,2020,89.11373801916933
Friday,04:45,2021,94.24954351795496
Friday,04:45,2022,105.89920424403184
Friday,04:45,2023,110.34710743801652
Friday,04:45,2024,122.446519524618
Friday,05:00,2019,173.18424317617865
Friday,05:00,2020,126.41022364217253
Friday,05:00,2021,129.0249543517955
Friday,05:00,2022,135.93965517241378
Friday,05:00,2023,141.55371900826447
Friday,05:00,2024,154.7792869269949
Friday,05:15,2019,231.2109181141439
Friday,05:15,2020,180.09456869009585
Friday,05:15,2021,186.16433353621423
Friday,05:15,2022,183.79840848806367
Friday,05:15,2023,182.17546090273362
Friday,05:15,2024,198.23938879456708
Friday,05:30,2019,310.2903225806452
Friday,05:30,2020,251.33865814696486
Friday,05:30,2021,251.30614729153987
Friday,05:30,2022,243.9628647214854
Friday,05:30,2023,241.19643992371266
Friday,05:30,2024,262.5458404074703
Friday,05:45,2019,397.20533498759306
Friday,05:45,2020,332.93546325878594
Friday,05:45,2021,327.084601339014
Friday,05:45,2022,312.2055702917772
Friday,05:45,2023,310.56961220597583
Friday,05:45,2024,339.6960950764007
Friday,06:00,2019,565.5167493796527
Friday,06:00,2020,470.61405750798724
Friday,06:00,2021,461.30249543517954
Friday,06:00,2022,435.5079575596817
Friday,06:00,2023,428.3089637635092
Friday,06:00,2024,460.3039049235993
Friday,06:15,2019,801.6408188585608
Friday,06:15,2020,683.4811501597444
Friday,06:15,2021,676.7741935483871
Friday,06:15,2022,636.472148541114
Friday,06:15,2023,620.2733630006358
Friday,06:15,2024,658.6468590831919
Friday,06:30,2019,974.591811414392
Friday,06:30,2020,835.8134185303514
Friday,06:30,2021,839.3377967133292
Friday,06:30,2022,805.7188328912467
Friday,06:30,2023,775.3528289891926
Friday,06:30,2024,831.3938879456706
Friday,06:45,2019,993.3678660049628
Friday,06:45,2020,829.3623003194888
Friday,06:45,2021,826.761412051126
Friday,06:45,2022,798.1226790450928
Friday,06:45,2023,777.5193897012078
Friday,06:45,2024,841.5840407470289
Friday,07:00,2019,975.6619106699752
Friday,07:00,2020,770.476677316294
Friday,07:00,2021,774.9701765063908
Friday,07:00,2022,755.342175066313
Friday,07:00,2023,742.7781309599492
Friday,07:00,2024,809.8081494057725
Friday,07:15,2019,1136.136476426799
Friday,07:15,2020,882.8932907348243
Friday,07:15,2021,888.019476567255
Friday,07:15,2022,859.9708222811671
Friday,07:15,2023,860.7743165924984
Friday,07:15,2024,936.1375212224109
Friday,07:30,2019,1293.7071960297767
Friday,07:30,2020,1007.49392971246
Friday,07:30,2021,1035.0493000608642
Friday,07:30,2022,1019.2347480106101
Friday,07:30,2023,1010.8734413965087
Friday,07:30,2024,1065.6994906621392
Friday,07:45,2019,1351.136476426799
Friday,07:45,2020,1037.909265175719
Friday,07:45,2021,1085.711503347535
Friday,07:45,2022,1091.188328912467
Friday,07:45,2023,1072.2325436408978
Friday,07:45,2024,1107.5297113752122
Friday,08:00,2019,1363.336228287841
Friday,08:00,2020,1016.1865814696486
Friday,08:00,2021,1086.0839926962872
Friday,08:00,2022,1104.0629973474802
Friday,08:00,2023,1078.8890274314215
Friday,08:00,2024,1115.1943972835313
Friday,08:15,2019,1383.6166253101737
Friday,08:15,2020,1055.1846645367411
Friday,08:15,2021,1151.2805842970176
Friday,08:15,2022,1165.8925729442972
Friday,08:15,2023,1119.6271820448878
Friday,08:15,2024,1164.735144312394
Friday,08:30,2019,1413.5843672456576
Friday,08:30,2020,1107.390977443609
Friday,08:30,2021,1231.3408399269629
Friday,08:30,2022,1215.6976127320954
Friday,08:30,2023,1159.1452618453866
Friday,08:30,2024,1204.6774193548388
Friday,08:45,2019,1344.3722084367246
Friday,08:45,2020,1077.4417293233082
Friday,08:45,2021,1196.5909920876445
Friday,08:45,2022,1157.0835543766577
Friday,08:45,2023,1110.8771820448878
Friday,08:45,2024,1151.244482173175
Friday,09:00,2019,1229.4863523573201
Friday,09:00,2020,937.0275689223058
Friday,09:00,2021,1050.2671941570297
Friday,09:00,2022,1018.8395225464191
Friday,09:00,2023,1014.1508728179551
Friday,09:00,2024,1054.521222410866
Friday,09:15,2019,1203.774193548387
Friday,09:15,2020,961.4442355889724
Friday,09:15,2021,1034.7273280584297
Friday,09:15,2022,1006.6366047745358
Friday,09:15,2023,995.8067331670823
Friday,09:15,2024,1054.5619694397283
Friday,09:30,2019,1198.0372208436725
Friday,09:30,2020,969.8095238095239
Friday,09:30,2021,1046.5976871576386
Friday,09:30,2022,1006.7738726790451
Friday,09:30,2023,1012.6864089775561
Friday,09:30,2024,1066.9966044142614
Friday,09:45,2019,1155.1464019851117
Friday,09:45,2020,947.6491228070175
Friday,09:45,2021,1011.4388314059647
Friday,09:45,2022,989.5198938992042
Friday,09:45,2023,988.1203241895262
Friday,09:45,2024,1046.3616298811544
Friday,10:00,2019,1082.4665012406947
Friday,10:00,2020,893.9667919799499
Friday,10:00,2021,950.6451612903226
Friday,10:00,2022,934.2997347480106
Friday,10:00,2023,936.7183725365544
Friday,10:00,2024,983.7062818336163
Friday,10:15,2019,1099.0272952853597
Friday,10:15,2020,922.5902255639098
Friday,10:15,2021,980.388314059647
Friday,10:15,2022,960.9270557029178
Friday,10:15,2023,975.0879052369078
Friday,10:15,2024,1018.2231909328683
Friday,10:30,2019,1121.439205955335
Friday,10:30,2020,958.1278195488721
Friday,10:30,2021,1012.8301886792453
Friday,10:30,2022,992.2592838196286
Friday,10:30,2023,1009.3285536159601
Friday,10:30,2024,1050.1255448997385
Friday,10:45,2019,1105.6104218362284
Friday,10:45,2020,959.5137844611529
Friday,10:45,2021,1024.7948874010956
Friday,10:45,2022,998.5702917771883
Friday,10:45,2023,1006.8840399002494
Friday,10:45,2024,1043.6943972835313
Friday,11:00,2019,1082.1761786600496
Friday,11:00,2020,935.0701754385965
Friday,11:00,2021,985.9549604382228
Friday,11:00,2022,968.0888594164456
Friday,11:00,2023,976.9663341645885
Friday,11:00,2024,1017.6383701188455
Friday,11:15,2019,1093.6563275434244
Friday,11:15,2020,968.295739348371
Friday,11:15,2021,1027.15398660986
Friday,11:15,2022,1006.1034482758621
Friday,11:15,2023,1009.3216957605985
Friday,11:15,2024,1056.4227504244482
Friday,11:30,2019,1125.2555831265508
Friday,11:30,2020,999.3803258145364
Friday,11:30,2021,1061.2525867315885
Friday,11:30,2022,1036.1724137931035
Friday,11:30,2023,1043.7832167832169
Friday,11:30,2024,1077.2275042444821
Friday,11:45,2019,1117.3777915632754
Friday,11:45,2020,1012.8308270676691
Friday,11:45,2021,1087.8520998174072
Friday,11:45,2022,1057.1797082228118
Friday,11:45,2023,1060.0130922693268
Friday,11:45,2024,1100.3378607809848
Friday,12:00,2019,1142.4708436724566
Friday,12:00,2020,1004.704260651629
Friday,12:00,2021,1079.9476567255022
Friday,12:00,2022,1051.1936339522547
Friday,12:00,2023,1058.0143391521196
Friday,12:00,2024,1091.0713073005093
Friday,12:15,2019,1201.970223325062
Friday,12:15,2020,1053.360275689223
Friday,12:15,2021,1136.6542909312234
Friday,12:15,2022,1096.761273209549
Friday,12:15,2023,1110.7493765586034
Friday,12:15,2024,1139.978777589134
Friday,12:30,2019,1223.643300248139
Friday,12:30,2020,1083.3533834586467
Friday,12:30,2021,1169.247108947048
Friday,12:30,2022,1123.3481432360743
Friday,12:30,2023,1166.0492518703243
Friday,12:30,2024,1161.832767402377
Friday,12:45,2019,1221.509305210918
Friday,12:45,2020,1094.1528822055138
Friday,12:45,2021,1185.826536822885
Friday,12:45,2022,1133.688328912467
Friday,12:45,2023,1173.5411471321695
Friday,12:45,2024,1163.4448217317488
Friday,13:00,2019,1226.0074441687345
Friday,13:00,2020,1084.6065162907269
